"","session","sender","receiver","sender_dialog","sender_id","sender_gender","receiver_id","receiver_gender"
"4212",2113,"Ashley","Vika","statement",1,"female",5,"female"
"4213",2113,"Vika","Ashley","statement",5,"female",1,"female"
"4214",2113,"Ashley","Vika","statement",1,"female",5,"female"
"4215",2113,"Vika","Ashley","statement",5,"female",1,"female"
"4216",2113,"Ashley","Oleg","question",1,"female",4,"male"
"4217",2113,"Oleg","Ashley","statement",4,"male",1,"female"
"4218",2113,"Ashley","Will","statement",1,"female",2,"male"
"4219",2113,"Will","Ashley","statement",2,"male",1,"female"
"4220",2113,"Ashley","Will","statement",1,"female",2,"male"
"4221",2113,"Will","Oleg","disruption",2,"male",4,"male"
"4222",2113,"Oleg","Will","statement",4,"male",2,"male"
"4223",2113,"Will","Vika","disruption",2,"male",5,"female"
"4224",2113,"Vika","Will","statement",5,"female",2,"male"
"4225",2113,"Will","Ashley","statement",2,"male",1,"female"
"4226",2113,"Ashley","Oleg","statement",1,"female",4,"male"
"4227",2113,"Oleg","Will","statement",4,"male",2,"male"
"4228",2113,"Will","Vika","question",2,"male",5,"female"
"4229",2113,"Vika","Ashley","question",5,"female",1,"female"
"4230",2113,"Ashley","Will","statement",1,"female",2,"male"
"4231",2113,"Will","Ashley","statement",2,"male",1,"female"
"4232",2113,"Ashley","Oleg","statement",1,"female",4,"male"
"4233",2113,"Oleg","Ashley","statement",4,"male",1,"female"
"4234",2113,"Ashley","Saleh","backchannel",1,"female",3,"male"
"4235",2113,"Saleh","Ashley","question",3,"male",1,"female"
"4236",2113,"Ashley","Will","statement",1,"female",2,"male"
"4237",2113,"Will","Will","statement",2,"male",2,"male"
"4238",2113,"Will","Vika","statement",2,"male",5,"female"
"4239",2113,"Vika","Oleg","statement",5,"female",4,"male"
"4240",2113,"Oleg","Vika","statement",4,"male",5,"female"
"4241",2113,"Vika","Will","statement",5,"female",2,"male"
"4242",2113,"Will","Oleg","disruption",2,"male",4,"male"
"4243",2113,"Oleg","Saleh","statement",4,"male",3,"male"
"4244",2113,"Saleh","Ashley","question",3,"male",1,"female"
"4245",2113,"Ashley","Oleg","floor-grabber",1,"female",4,"male"
"4246",2113,"Oleg","Ashley","statement",4,"male",1,"female"
"4247",2113,"Ashley","Will","question",1,"female",2,"male"
"4248",2113,"Will","Vika","statement",2,"male",5,"female"
"4249",2113,"Vika","Oleg","statement",5,"female",4,"male"
"4250",2113,"Oleg","Vika","floor-grabber",4,"male",5,"female"
"4251",2113,"Vika","Oleg","backchannel",5,"female",4,"male"
"4252",2113,"Oleg","Will","question",4,"male",2,"male"
"4253",2113,"Will","Will","statement",2,"male",2,"male"
"4254",2113,"Will","Ashley","statement",2,"male",1,"female"
"4255",2113,"Ashley","Will","question",1,"female",2,"male"
"4256",2113,"Will","Ashley","statement",2,"male",1,"female"
"4257",2113,"Ashley","Will","statement",1,"female",2,"male"
"4258",2113,"Will","Oleg","statement",2,"male",4,"male"
"4259",2113,"Oleg","Vika","statement",4,"male",5,"female"
"4260",2113,"Vika","Saleh","statement",5,"female",3,"male"
"4261",2113,"Saleh","Ashley","question",3,"male",1,"female"
"4262",2113,"Ashley","Will","statement",1,"female",2,"male"
"4263",2113,"Will","Vika","question",2,"male",5,"female"
"4264",2113,"Vika","Will","statement",5,"female",2,"male"
"4265",2113,"Will","Vika","statement",2,"male",5,"female"
"4266",2113,"Vika","Will","question",5,"female",2,"male"
"4267",2113,"Will","Oleg","statement",2,"male",4,"male"
"4268",2113,"Oleg","Ashley","statement",4,"male",1,"female"
"4269",2113,"Ashley","Vika","statement",1,"female",5,"female"
"4270",2113,"Vika","Will","statement",5,"female",2,"male"
"4271",2113,"Will","Vika","backchannel",2,"male",5,"female"
"4272",2113,"Vika","Oleg","statement",5,"female",4,"male"
"4273",2113,"Oleg","Will","question",4,"male",2,"male"
"4274",2113,"Will","Vika","statement",2,"male",5,"female"
"4275",2113,"Vika","Ashley","statement",5,"female",1,"female"
"4276",2113,"Ashley","Will","statement",1,"female",2,"male"
"4277",2113,"Will","Ashley","statement",2,"male",1,"female"
"4278",2113,"Ashley","Vika","statement",1,"female",5,"female"
"4279",2113,"Vika","Oleg","statement",5,"female",4,"male"
"4280",2113,"Oleg","Ashley","question",4,"male",1,"female"
"4281",2113,"Ashley","Will","statement",1,"female",2,"male"
"4282",2113,"Will","Saleh","question",2,"male",3,"male"
"4283",2113,"Saleh","Will","question",3,"male",2,"male"
"4284",2113,"Will","Saleh","question",2,"male",3,"male"
"4285",2113,"Saleh","Will","statement",3,"male",2,"male"
"4286",2113,"Will","Ashley","question",2,"male",1,"female"
"4287",2113,"Ashley","Oleg","question",1,"female",4,"male"
"4288",2113,"Oleg","Ashley","question",4,"male",1,"female"
"4289",2113,"Ashley","Oleg","statement",1,"female",4,"male"
"4290",2113,"Oleg","Will","question",4,"male",2,"male"
"4291",2113,"Will","Ashley","question",2,"male",1,"female"
"4292",2113,"Ashley","Oleg","statement",1,"female",4,"male"
"4293",2113,"Oleg","Ashley","question",4,"male",1,"female"
