"","session","sender","receiver","sender_dialog","sender_id","sender_gender","receiver_id","receiver_gender"
"4154",2105,"Vika","Oleg","statement",5,"female",4,"male"
"4155",2105,"Oleg","Ashley","backchannel",4,"male",1,"female"
"4156",2105,"Ashley","Will","statement",1,"female",2,"male"
"4157",2105,"Will","Oleg","question",2,"male",4,"male"
"4158",2105,"Oleg","Saleh","statement",4,"male",3,"male"
"4159",2105,"Saleh","Ashley","statement",3,"male",1,"female"
"4160",2105,"Ashley","Saleh","statement",1,"female",3,"male"
"4161",2105,"Saleh","Oleg","floor-grabber",3,"male",4,"male"
"4162",2105,"Oleg","Ashley","question",4,"male",1,"female"
"4163",2105,"Ashley","Vika","backchannel",1,"female",5,"female"
"4164",2105,"Vika","Ashley","statement",5,"female",1,"female"
"4165",2105,"Ashley","Vika","question",1,"female",5,"female"
"4166",2105,"Vika","Ashley","question",5,"female",1,"female"
"4167",2105,"Ashley","Saleh","question",1,"female",3,"male"
