"","sid","rid","time"
"869",19,1,36210
"870",2,20,36240
"871",19,1,36241
"872",1,19,36260
"873",8,14,36270
"874",1,19,36271
"875",18,10,36290
"876",8,13,36330
"877",1,19,36340
"878",7,10,36360
"879",20,4,36370
"880",3,8,36380
"881",8,4,36390
"882",1,19,36400
"883",10,18,36470
"884",1,19,36530
"885",1,19,36550
"886",1,19,36570
"887",8,10,36571
"888",1,19,36630
"889",19,1,36640
"890",13,14,36690
"891",18,10,36691
"892",10,8,36730
"893",14,13,36750
"894",2,20,36810
"895",20,2,36910
"896",1,9,36940
"897",19,1,37050
"898",19,1,37110
"899",1,19,37200
"900",1,19,37280
"901",9,1,37290
"902",20,4,37350
"903",20,4,37400
"904",19,1,37420
"905",9,1,37430
"906",1,9,37450
"907",1,9,37451
"908",3,8,37470
"909",19,1,37510
"910",9,8,37550
"911",1,19,37560
"912",3,8,37570
"913",6,10,37580
"914",19,1,37680
"915",9,1,37720
"916",1,19,37740
"917",8,9,37750
"918",1,9,37830
"919",6,10,37850
"920",9,8,37870
"921",20,14,37920
"922",18,10,37921
"923",1,9,37940
"924",4,16,37970
"925",1,9,38010
"926",8,9,38030
"927",20,14,38040
"928",20,14,38100
"929",12,14,38130
"930",1,9,38131
"931",17,7,38170
"932",9,1,38210
"933",17,8,38230
"934",2,18,38260
"935",17,9,38290
"936",7,17,38300
"937",1,9,38301
"938",3,8,38320
"939",14,12,38321
"940",4,10,38350
"941",17,8,38390
"942",10,6,38391
"943",10,18,38430
"944",3,8,38450
"945",20,6,38451
"946",1,9,38470
"947",18,6,38480
"948",1,9,38520
"949",2,4,38540
"950",14,20,38570
"951",8,14,38571
"952",6,18,38572
"953",12,20,38580
"954",9,1,38620
"955",20,6,38630
"956",8,13,38660
"957",7,17,38661
"958",18,6,38670
"959",4,2,38671
"960",6,18,38680
"961",1,9,38681
"962",12,20,38690
"963",20,6,38700
"964",4,2,38710
"965",1,9,38720
"966",2,18,38730
"967",18,6,38780
"968",2,4,38790
"969",8,17,38810
"970",9,7,38811
"971",12,20,38910
"972",14,13,38911
"973",7,9,38912
"974",12,20,39010
"975",6,20,39080
"976",18,10,39081
"977",5,6,39120
"978",2,12,39130
"979",13,8,39210
"980",14,8,39220
"981",20,12,39230
"982",18,2,39240
"983",8,13,39290
"984",2,14,39340
"985",7,17,39360
"986",8,17,39390
"987",14,8,39450
"988",1,10,39451
"989",2,18,39480
"990",18,5,39500
"991",17,7,39510
"992",4,16,39540
"993",9,1,39550
"994",7,17,39560
"995",7,17,39620
"996",14,8,39630
"997",8,7,39650
"998",6,10,39670
"999",9,2,39671
"1000",1,9,39680
"1001",6,10,39710
"1002",13,8,39730
"1003",1,9,39760
"1004",9,20,39800
"1005",1,9,39801
"1006",8,13,39810
"1007",5,18,39811
"1008",17,18,39830
"1009",2,9,39870
"1010",9,7,39900
"1011",10,18,39930
"1012",7,17,39940
"1013",2,9,39941
"1014",14,4,39990
"1015",7,17,40030
"1016",8,9,40031
"1017",1,9,40050
"1018",10,18,40070
"1019",17,18,40080
"1020",8,7,40100
"1021",7,17,40120
"1022",9,1,40170
"1023",4,14,40190
"1024",9,1,40220
"1025",8,10,40230
"1026",14,4,40240
"1027",6,17,40250
"1028",9,1,40260
"1029",1,9,40270
"1030",9,1,40280
"1031",20,9,40310
"1032",7,9,40320
"1033",1,9,40321
"1034",8,10,40330
"1035",9,2,40350
"1036",4,14,40370
"1037",17,18,40390
"1038",9,20,40420
"1039",10,8,40490
"1040",9,7,40580
"1041",7,8,40610
"1042",9,19,40680
"1043",14,4,40700
"1044",19,9,40770
"1045",4,14,40790
"1046",1,9,40810
"1047",1,9,40840
"1048",14,4,40850
"1049",19,9,40851
"1050",1,9,40852
"1051",13,14,40890
"1052",14,4,40900
"1053",17,5,40920
"1054",17,5,40970
"1055",12,2,40971
"1056",9,1,40990
"1057",2,9,41000
"1058",4,14,41050
"1059",14,13,41100
"1060",9,19,41101
"1061",2,12,41180
"1062",20,9,41200
"1063",4,14,41210
"1064",9,17,41270
"1065",14,4,41310
"1066",9,8,41330
"1067",10,6,41331
"1068",12,2,41360
"1069",17,6,41440
"1070",4,14,41480
"1071",5,6,41510
"1072",2,12,41580
"1073",20,12,41650
"1074",6,5,41651
"1075",2,12,41670
"1076",9,19,41671
"1077",13,14,41680
"1078",2,12,41681
"1079",9,20,41720
"1080",12,2,41750
"1081",13,14,41770
"1082",8,10,41780
"1083",10,7,41800
"1084",10,8,41870
"1085",20,9,41871
"1086",9,17,41890
"1087",9,17,41930
"1088",6,17,41960
"1089",2,12,41990
"1090",7,10,41991
"1091",6,10,42020
"1092",7,10,42030
"1093",10,8,42050
"1094",19,9,42090
